ID_Activo,Fecha,Clase,Categoría,Subcategoría,Institución,Nombre_Producto,Moneda,Valor_Original,Tipo_Cambio_a_CLP,Valor_CLP,Ticker,Identificador_Cuenta,Detalle_Adicional
acc_itau_habitat,7/3/2026,Activo,Inversión Líquida,Acción,banco itau,habitat,CLP,971446,1,971446,HABITAT,,
ffm_itau_moneymarket,7/3/2026,Activo,Inversión Líquida,Fondo,banco itau,money market,CLP,25687,1,25687,,,
prop_carmen_590,7/3/2026,Activo,Activo Fijo,Propiedades,(N/A),carmen 590,UF,2100,39841,83666100,,,
prop_huanuco_2290,7/3/2026,Activo,Activo Fijo,Propiedades,(N/A),huanuco 2290,UF,2500,39841,99602500,,,
afp_habitat_obligatorio,7/3/2026,Activo,Activo Fijo,Afp,habitat,ahorro obligatorio,CLP,49151271,1,49151271,,,
pas_bci_hipotecario,7/3/2026,Pasivo,Pasivo a Largo Plazo,Credito hipotecario,banco bci,hipotecario,CLP,61946247,1,61946247,,,
cta_bci_cte,7/3/2026,Activo,Circulante,Cuenta corriente,banco bci,,CLP,44856450,1,44856450,,,
pas_bci_tdc_black,7/3/2026,Pasivo,Pasivo Circulante,Tarjeta credito,banco bci,mastercard black,CLP,1625576,1,1625576,,,
pas_sii_impuestos,7/3/2026,Pasivo,Pasivo a Largo Plazo,Impuestos,sii,27 bis 177 utm,UTM,177,69889,12370353,,,
cta_consorcio_vista,7/3/2026,Activo,Inversión Líquida,Cuenta vista,consorcio,cuenta mas,CLP,59481965,1,59481965,,,
prestamo_s_castro,7/3/2026,Activo,Inversión Poco Líquida,Credito personal,sandor castro,,CLP,3000000,1,3000000,,,
cta_chile_vista,7/3/2026,Activo,Circulante,Cuenta vista,banco chile,,CLP,961,1,961,,,
cta_estado_vista,7/3/2026,Activo,Circulante,Cuenta vista,banco estado,,CLP,30000,1,30000,,,
inv_estado_ahorro,7/3/2026,Activo,Inversión Poco Líquida,Cuenta ahorro,banco estado,,CLP,500000,1,500000,,,
cta_bice_vista,7/3/2026,Activo,Circulante,Cuenta vista,banco bice,,CLP,72615,1,72615,,,
cta_scotia_cte,7/3/2026,Activo,Circulante,Cuenta corriente,banco scotiabank,,CLP,37428084,1,37428084,,,
inv_coopeuch_cuotas,7/3/2026,Activo,Inversión Poco Líquida,Cuotas de Participación,coopeuch,coopeuch,CLP,787520,1,787520,,,
pas_coopeuch_hipotecario,7/3/2026,Pasivo,Pasivo a Largo Plazo,Credito hipotecario,coopeuch,hipotecario,CLP,65752962,1,65752962,,,
efectivo_cash,7/3/2026,Activo,Circulante,Efectivo,cash,cash,CLP,250000,1,250000,,,
pas_cheque_pie_huanuco,7/3/2026,Pasivo,Pasivo a Largo Plazo,Cheques,inmobiliaria activa,pie huanuco,CLP,18020000,1,18020000,,,
efectivo_cash,15/3/2026,Activo,Circulante,Efectivo,cash,cash,CLP,393000,1,393000,,,
apv_soyfocus_arriesgado_a_25,15/3/2026,Activo,Activo Fijo,Apv,soyfocus,2025 octubre apv-a arriesgado - reg a,CLP,18290910,1,18290910,,,
ffm_soyfocus_arriesgado_2025,15/3/2026,Activo,Inversión Líquida,Fondo,soyfocus,2025 octubre arriesgado,CLP,7831122,1,7831122,,,
ffm_soyfocus_moderado_2025,15/3/2026,Activo,Inversión Líquida,Fondo,soyfocus,2025 octubre moderado,CLP,3098012,1,3098012,,,
cta_consorcio_vista,15/3/2026,Activo,Inversión Líquida,Cuenta vista,consorcio,cuenta mas,CLP,59000000,1,59000000,,,
prestamo_s_castro,15/3/2026,Activo,Inversión Poco Líquida,Credito personal,sandor castro,,CLP,3000000,1,3000000,,,
pas_bci_hipotecario,15/3/2026,Pasivo,Pasivo a Largo Plazo,Credito hipotecario,banco bci,hipotecario,CLP,61946247,1,61946247,,,
pas_coopeuch_hipotecario,15/3/2026,Pasivo,Pasivo a Largo Plazo,Credito hipotecario,coopeuch,hipotecario,CLP,65752962,1,65752962,,,
cta_bci_cte,15/3/2026,Activo,Circulante,Cuenta corriente,banco bci,,CLP,45249702,1,45249702,,,
pas_bci_tdc_black,15/3/2026,Pasivo,Pasivo Circulante,Tarjeta credito,banco bci,mastercard black,CLP,1795996,1,1795996,,,
cta_scotia_cte,15/3/2026,Activo,Circulante,Cuenta corriente,banco scotiabank,,CLP,37771831,1,37771831,,,
pas_sii_impuestos,15/3/2026,Pasivo,Pasivo a Largo Plazo,Impuestos,sii,27 bis 177 utm,UTM,177,69889,12370353,,,
prop_carmen_590,15/3/2026,Activo,Activo Fijo,Propiedades,(N/A),carmen 590,UF,2100,39841,83666100,,,
prop_huanuco_2290,15/3/2026,Activo,Activo Fijo,Propiedades,(N/A),huanuco 2290,UF,2500,39841,99602500,,,
afp_habitat_obligatorio,15/3/2026,Activo,Activo Fijo,Afp,habitat,ahorro obligatorio,CLP,48848094,1,48848094,,,
cta_estado_vista,15/3/2026,Activo,Circulante,Cuenta vista,banco estado,,CLP,30000,1,30000,,,
inv_estado_ahorro,15/3/2026,Activo,Inversión Poco Líquida,Cuenta ahorro,banco estado,,CLP,500000,1,500000,,,
cta_chile_vista,15/3/2026,Activo,Circulante,Cuenta vista,banco chile,,CLP,961,1,961,,,
cta_bice_vista,15/3/2026,Activo,Circulante,Cuenta vista,banco bice,,CLP,81820,1,81820,,,
acc_itau_enelchile,15/3/2026,Activo,Inversión Líquida,Acción,banco itau,enelchile,CLP,1250198,1,1250198,enelchile,,
acc_itau_habitat,15/3/2026,Activo,Inversión Líquida,Acción,banco itau,habitat,CLP,968221,1,968221,HABITAT,,
ffm_itau_moneymarket,15/3/2026,Activo,Inversión Líquida,Fondo,banco itau,money market,CLP,25687,1,25687,,,
inv_coopeuch_cuotas,15/3/2026,Activo,Inversión Poco Líquida,Cuotas de Participación,coopeuch,coopeuch,CLP,787520,1,787520,,,
pas_cheque_pie_huanuco,15/3/2026,Pasivo,Pasivo a Largo Plazo,Cheques,inmobiliaria activa,pie huanuco,CLP,18020000,1,18020000,,,
efectivo_cash,4/4/2026,Activo,Circulante,Efectivo,cash,cash,CLP,383000,1,383000,,,
apv_soyfocus_arriesgado_a_25,4/4/2026,Activo,Activo Fijo,Apv,soyfocus,2025 octubre apv-a arriesgado - reg a,CLP,18388691,1,18388691,,,
ffm_soyfocus_arriesgado_2025,4/4/2026,Activo,Inversión Líquida,Fondo,soyfocus,2025 octubre arriesgado,CLP,7870830,1,7870830,,,
