ID_Activo,Fecha,Clase,Categoría,Subcategoría,Institución,Nombre_Producto,Moneda,Valor_Original,Tipo_Cambio_a_CLP,Valor_CLP,Ticker,Identificador_Cuenta,Detalle_Adicional
apv_soyfocus_arriesgado_a_25,9/4/2026,Activo,Activo Fijo,Apv,soyfocus,2025 octubre apv-a arriesgado - reg a,CLP,18481535,1,18481535,,,
ffm_soyfocus_arriesgado_2025,9/4/2026,Activo,Inversión Líquida,Fondo,soyfocus,2025 octubre arriesgado,CLP,7909811,1,7909811,,,
ffm_soyfocus_moderado_2025,9/4/2026,Activo,Inversión Líquida,Fondo,soyfocus,2025 octubre moderado,CLP,3113234,1,3113234,,,
cta_consorcio_vista,9/4/2026,Activo,Inversión Líquida,Cuenta vista,consorcio,cuenta mas,CLP,59251441,1,59251441,,,
prestamo_s_castro,9/4/2026,Activo,Inversión Poco Líquida,Credito personal,sandor castro,,CLP,3000000,1,3000000,,,
pas_bci_hipotecario,9/4/2026,Pasivo,Pasivo a Largo Plazo,Credito hipotecario,banco bci,hipotecario,CLP,61910360,1,61910360,,,
pas_coopeuch_hipotecario,9/4/2026,Pasivo,Pasivo a Largo Plazo,Credito hipotecario,coopeuch,hipotecario,CLP,65717049,1,65717049,,,
cta_bci_cte,9/4/2026,Activo,Circulante,Cuenta corriente,banco bci,,CLP,43140856,1,43140856,,,
pas_bci_tdc_black,9/4/2026,Pasivo,Pasivo Circulante,Tarjeta credito,banco bci,mastercard black,CLP,1350796,1,1350796,,,
cta_scotia_cte,9/4/2026,Activo,Circulante,Cuenta corriente,banco scotiabank,,CLP,39392817,1,39392817,,,
pas_sii_impuestos,9/4/2026,Pasivo,Pasivo a Largo Plazo,Impuestos,sii,27 bis 177 utm,UTM,177,69889,12370353,,,
prop_carmen_590,9/4/2026,Activo,Activo Fijo,Propiedades,(N/A),carmen 590,UF,2100,39854,83693400,,,
prop_huanuco_2290,9/4/2026,Activo,Activo Fijo,Propiedades,(N/A),huanuco 2290,UF,2500,39854,99635000,,,
afp_habitat_obligatorio,9/4/2026,Activo,Activo Fijo,Afp,habitat,ahorro obligatorio,CLP,48655595,1,48655595,,,
